# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GFF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379726_1_trimmed.bam" "SRR10379723_1_trimmed.bam" "SRR10379725_1_trimmed.bam" "SRR10379722_1_trimmed.bam" "SRR10379724_1_trimmed.bam" "SRR10379721_1_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_1_trimmed.bam	SRR10379723_1_trimmed.bam	SRR10379725_1_trimmed.bam	SRR10379722_1_trimmed.bam	SRR10379724_1_trimmed.bam	SRR10379721_1_trimmed.bam
gene-SAOUHSC_00699	CP000253.1	684182	685555	+	1374	1912	6467	9889	5931	6986	7567
gene-SAOUHSC_00700	CP000253.1	685710	686057	-	348	106	747	993	696	1038	1045
gene-SAOUHSC_00701	CP000253.1	685991	686608	-	618	181	902	1743	569	1144	788
gene-SAOUHSC_00702	CP000253.1	686794	687216	-	423	72	740	915	780	1047	927
gene-SAOUHSC_00703	CP000253.1	687425	688591	+	1167	416	1997	2598	1955	2123	2294
gene-SAOUHSC_00704	CP000253.1	688884	689336	+	453	91	700	1465	463	1169	635
gene-SAOUHSC_00705	CP000253.1	689510	689992	+	483	99	439	939	372	441	545
gene-SAOUHSC_00706	CP000253.1	690242	691006	+	765	820	6294	5909	6461	2821	8698
gene-SAOUHSC_00707	CP000253.1	691003	691923	+	921	6571	8449	14973	10539	4354	11795
gene-SAOUHSC_00708	CP000253.1	691929	693887	+	1959	18172	33501	67006	40126	29903	47920
gene-SAOUHSC_00709	CP000253.1	693941	694114	-	174	50	474	303	397	556	742
gene-SAOUHSC_00710	CP000253.1	694195	695376	+	1182	379	838	1927	1029	1492	1497
gene-SAOUHSC_00711	CP000253.1	695597	696946	+	1350	1656	3551	17472	4639	16382	5598
gene-SAOUHSC_00712	CP000253.1	697168	698007	+	840	1336	371	5064	629	3483	729
gene-SAOUHSC_00713	CP000253.1	698139	699122	+	984	1800	1523	10849	1998	9969	2351
gene-SAOUHSC_00714	CP000253.1	699194	700249	-	1056	1775	27478	40496	33913	35657	48420
gene-SAOUHSC_00715	CP000253.1	700249	700935	-	687	1844	17657	31467	22214	27742	31053
gene-SAOUHSC_00716	CP000253.1	700910	701383	-	474	1009	9251	15714	11327	18542	16177
gene-SAOUHSC_00717	CP000253.1	701725	702165	-	441	476	13048	23690	16837	24272	24767
gene-SAOUHSC_00718	CP000253.1	702445	703029	-	585	208	2438	1503	1222	1418	2273
gene-SAOUHSC_00719	CP000253.1	703128	703841	-	714	1284	7689	4507	6525	3200	8527
gene-SAOUHSC_00720	CP000253.1	703845	704264	-	420	140	2858	1925	2584	1244	3121
gene-SAOUHSC_00721	CP000253.1	704266	704934	-	669	145	3292	1916	2624	1109	3400
gene-SAOUHSC_00722	CP000253.1	705285	705878	+	594	63	340	260	324	286	430
gene-SAOUHSC_00723	CP000253.1	705862	707013	+	1152	262	940	1002	824	747	1223
gene-SAOUHSC_00724	CP000253.1	707013	707621	+	609	98	700	914	632	614	834
gene-SAOUHSC_00725	CP000253.1	707687	707893	+	207	26	373	562	301	559	372
gene-SAOUHSC_00726	CP000253.1	707981	708691	+	711	248	1576	2769	1378	2079	1866
gene-SAOUHSC_00727	CP000253.1	708675	709679	+	1005	807	2816	3902	2494	3281	3309
gene-SAOUHSC_00728	CP000253.1	710153	712093	+	1941	6221	213768	61564	170462	75353	252054
gene-SAOUHSC_A00703	CP000253.1	712235	712393	-	159	0	21	26	11	20	17
gene-SAOUHSC_00729	CP000253.1	712364	714247	+	1884	2331	13779	14135	12092	9759	18227
gene-SAOUHSC_00730	CP000253.1	714259	716040	+	1782	2178	25404	21477	19982	14404	32573
gene-SAOUHSC_00731	CP000253.1	716262	717239	+	978	2807	1140	7345	1877	5287	2007
gene-SAOUHSC_00732	CP000253.1	717232	718746	+	1515	1621	3310	11524	4104	8800	5504
gene-SAOUHSC_00733	CP000253.1	718986	720044	+	1059	1052	699	8462	877	6500	1002
gene-SAOUHSC_00734	CP000253.1	720395	720937	+	543	574	1823	7025	1942	5819	2625
gene-SAOUHSC_00735	CP000253.1	721050	721148	+	99	223	246	1076	244	706	356
gene-SAOUHSC_00736	CP000253.1	721561	722478	-	918	3411	6631	18136	10552	19398	10013
gene-SAOUHSC_00737	CP000253.1	722569	722670	+	102	7	12	39	11	26	12
gene-SAOUHSC_00738	CP000253.1	722748	724253	-	1506	9085	4253	41845	6507	40726	6938
gene-SAOUHSC_00739	CP000253.1	724594	725094	-	501	505	2145	1974	2029	1547	2540
gene-SAOUHSC_00740	CP000253.1	725114	725848	-	735	186	2874	3318	2716	2494	3487
gene-SAOUHSC_00741	CP000253.1	726781	727179	+	399	1783	2632	12982	2849	10523	3940
gene-SAOUHSC_00742	CP000253.1	727082	729247	+	2166	12660	23957	110398	25853	92879	37650
gene-SAOUHSC_00743	CP000253.1	729365	730336	+	972	5625	11853	59168	12833	51884	18466
gene-SAOUHSC_00744	CP000253.1	730469	730573	+	105	52	207	57	172	88	385
gene-SAOUHSC_00745	CP000253.1	730850	731005	+	156	4	11	6	4	4	15
gene-SAOUHSC_00746	CP000253.1	731044	732015	+	972	89	790	740	983	653	1149
gene-SAOUHSC_00747	CP000253.1	732002	732958	+	957	14	702	471	621	392	828
gene-SAOUHSC_00748	CP000253.1	732955	733716	+	762	17	548	201	561	184	752
gene-SAOUHSC_00749	CP000253.1	733835	734863	+	1029	93	1245	872	1247	593	1637
gene-SAOUHSC_00751	CP000253.1	735180	735494	-	315	188	969	1706	1027	1486	1299
gene-SAOUHSC_00752	CP000253.1	735512	736435	-	924	561	1368	2382	1470	2430	2121
gene-SAOUHSC_00753	CP000253.1	736562	737080	-	519	34	239	797	279	681	342
gene-SAOUHSC_00754	CP000253.1	737200	738078	+	879	100	1393	1684	1135	1312	1881
gene-SAOUHSC_00755	CP000253.1	738232	738552	+	321	327	6616	4803	8239	4212	9297
gene-SAOUHSC_00756	CP000253.1	738977	740101	+	1125	1392	3419	4851	4664	3802	4795
gene-SAOUHSC_00757	CP000253.1	740290	741516	-	1227	2118	7088	8200	6934	6900	10185
gene-SAOUHSC_00758	CP000253.1	741530	742024	-	495	135	479	810	514	643	725
gene-SAOUHSC_00759	CP000253.1	742042	742803	-	762	142	582	830	611	784	861
gene-SAOUHSC_00760	CP000253.1	742999	744069	-	1071	331	27110	4260	20015	4625	26168
gene-SAOUHSC_00762	CP000253.1	744387	745442	+	1056	665	2317	5960	2079	4066	2913
gene-SAOUHSC_00763	CP000253.1	745612	746253	-	642	958	1353	3255	1784	3033	2456
gene-SAOUHSC_00764	CP000253.1	746397	746780	+	384	336	3855	2522	3432	3961	5112
gene-SAOUHSC_00765	CP000253.1	747288	748226	+	939	10	719	219	728	264	791
gene-SAOUHSC_00766	CP000253.1	748219	748893	+	675	67	568	452	555	369	762
gene-SAOUHSC_00767	CP000253.1	748954	749526	+	573	7091	10749	68782	17515	51050	20470
gene-SAOUHSC_00769	CP000253.1	749940	752471	+	2532	14878	25727	54896	32380	44184	42036
gene-SAOUHSC_00770	CP000253.1	752513	752617	+	105	44	82	126	63	102	87
gene-SAOUHSC_00771	CP000253.1	753021	753896	+	876	2162	2956	6816	2772	4312	4046
gene-SAOUHSC_00772	CP000253.1	754050	754157	+	108	4	20	17	11	16	23
gene-SAOUHSC_00773	CP000253.1	754305	755144	+	840	59	1152	690	1106	495	1477
gene-SAOUHSC_00774	CP000253.1	755318	755968	+	651	147	383	2964	306	1910	633
gene-SAOUHSC_00775	CP000253.1	755965	756201	+	237	23	119	607	106	527	224
gene-SAOUHSC_00776	CP000253.1	756470	757501	+	1032	460	4406	2583	4294	2431	5953
gene-SAOUHSC_00778	CP000253.1	757511	758527	+	1017	0	0	0	0	0	0
gene-SAOUHSC_A00747	CP000253.1	758565	758723	-	159	0	0	0	0	0	0
gene-SAOUHSC_00779	CP000253.1	758680	759654	+	975	551	5987	3822	5628	3535	7943
gene-SAOUHSC_00780	CP000253.1	759662	762508	+	2847	5590	29223	15643	25828	16016	35449
gene-SAOUHSC_00781	CP000253.1	763170	764102	+	933	1598	1247	9551	2046	6375	2184
gene-SAOUHSC_00782	CP000253.1	764108	764947	+	840	920	486	4645	749	2825	789
gene-SAOUHSC_00783	CP000253.1	764955	765440	+	486	330	363	2596	489	1648	569
gene-SAOUHSC_00784	CP000253.1	765448	766887	+	1440	400	1623	5888	2002	4980	2538
gene-SAOUHSC_00785	CP000253.1	766954	767889	+	936	7298	4181	20815	7491	15583	9235
gene-SAOUHSC_00786	CP000253.1	768263	768688	-	426	1469	826	2176	1413	2143	1509
gene-SAOUHSC_00787	CP000253.1	768982	769794	+	813	880	2214	8651	3495	5168	3512
gene-SAOUHSC_00788	CP000253.1	769791	770786	+	996	16603	7231	35569	12422	26993	11297
gene-SAOUHSC_00789	CP000253.1	770896	771840	+	945	8152	10709	38990	16011	27958	16657
gene-SAOUHSC_T0005	CP000253.1	772155	772226	-	72	77	111	532	176	385	166
gene-SAOUHSC_00790	CP000253.1	772413	773000	+	588	1579	11461	13389	15235	16079	19174
gene-SAOUHSC_00792	CP000253.1	773243	774145	-	903	4436	2461	15984	3416	15044	3515
gene-SAOUHSC_00793	CP000253.1	774848	775477	+	630	15537	4690	44754	6802	24526	6315
gene-SAOUHSC_00794	CP000253.1	776119	777132	+	1014	33455	24713	74489	30586	101899	38821
gene-SAOUHSC_00795	CP000253.1	777185	778195	+	1011	93871	34787	267062	47891	300993	58028
gene-SAOUHSC_00796	CP000253.1	778334	779524	+	1191	21419	8530	81048	10670	85494	14556
gene-SAOUHSC_00797	CP000253.1	779646	780407	+	762	22622	9145	89932	11782	79133	14437
gene-SAOUHSC_00798	CP000253.1	780410	781927	+	1518	86821	17653	154437	22350	147139	29029
gene-SAOUHSC_00799	CP000253.1	782057	783361	+	1305	104091	21653	148900	31368	153937	39946
gene-SAOUHSC_00800	CP000253.1	783701	784159	+	459	155	3237	5053	2707	5197	3642
gene-SAOUHSC_00801	CP000253.1	784184	784459	+	276	5818	7148	13540	8990	8351	9404
gene-SAOUHSC_00802	CP000253.1	784575	785315	+	741	1993	14723	12632	17053	9169	16299
gene-SAOUHSC_00803	CP000253.1	785349	787721	+	2373	11358	62885	56371	74542	49281	71510
gene-SAOUHSC_00804	CP000253.1	787743	788207	+	465	3402	13467	14458	15599	10736	15659
gene-SAOUHSC_00805	CP000253.1	788981	789262	+	282	13	170	184	152	185	218
gene-SAOUHSC_00806	CP000253.1	789529	789852	-	324	46	1310	536	731	332	1248
gene-SAOUHSC_00807	CP000253.1	789868	790014	-	147	51	655	245	503	213	887
gene-SAOUHSC_00808	CP000253.1	790206	790934	-	729	85	1832	947	1340	865	2156
gene-SAOUHSC_00809	CP000253.1	791370	791525	+	156	1	7	3	10	6	11
gene-SAOUHSC_00810	CP000253.1	791533	792054	+	522	135	166	913	220	507	189
gene-SAOUHSC_00811	CP000253.1	792193	792723	+	531	492	691	2944	781	1590	850
gene-SAOUHSC_00812	CP000253.1	792986	795769	+	2784	130685	74173	112338	118126	122982	115746
gene-SAOUHSC_00813	CP000253.1	795990	796109	+	120	20	109	75	131	170	149
gene-SAOUHSC_00814	CP000253.1	796163	797515	+	1353	111	1889	881	1849	2404	2867
gene-SAOUHSC_00816	CP000253.1	797866	798888	+	1023	180	752	1726	791	2066	1079
gene-SAOUHSC_00817	CP000253.1	799223	799693	+	471	259	300	882	475	994	580
gene-SAOUHSC_00818	CP000253.1	800034	800720	+	687	6	304	81	213	79	372
gene-SAOUHSC_00819	CP000253.1	801077	801277	+	201	14246	33128	61427	38287	91542	52982
gene-SAOUHSC_00820	CP000253.1	801773	801991	-	219	276	1406	2732	1644	3087	1869
gene-SAOUHSC_00821	CP000253.1	802053	802337	-	285	206	739	1672	974	1840	974
gene-SAOUHSC_00822	CP000253.1	802425	802994	-	570	319	421	1223	544	974	593
gene-SAOUHSC_00823	CP000253.1	803182	803370	-	189	227	997	1963	792	2301	1039
gene-SAOUHSC_00824	CP000253.1	803399	803659	-	261	316	825	2745	752	2095	995
gene-SAOUHSC_00825	CP000253.1	804000	804203	+	204	2818	8469	56336	14044	34740	11153
gene-SAOUHSC_00826	CP000253.1	804200	804436	-	237	646	2491	12902	3536	11324	3420
gene-SAOUHSC_00827	CP000253.1	804682	805242	+	561	456	6496	1401	5444	1671	7180
gene-SAOUHSC_00828	CP000253.1	805315	805932	-	618	539	1406	5595	1375	6136	1785
gene-SAOUHSC_00830	CP000253.1	806087	806581	-	495	464	6866	6329	6956	7174	8499
gene-SAOUHSC_00831	CP000253.1	806980	807402	-	423	3527	1820	7519	2943	6430	2624
gene-SAOUHSC_00832	CP000253.1	807550	808266	+	717	43	747	695	811	656	1027
gene-SAOUHSC_00833	CP000253.1	808349	808888	+	540	1393	5891	6563	6957	4353	8774
gene-SAOUHSC_00834	CP000253.1	809038	809358	-	321	843	798	2252	1322	2733	1737
gene-SAOUHSC_00835	CP000253.1	809502	809858	+	357	129	281	5475	400	3173	539
gene-SAOUHSC_00836	CP000253.1	810016	810396	+	381	1044	2711	16617	3617	11967	4367
gene-SAOUHSC_00837	CP000253.1	810460	810573	+	114	7	65	152	56	78	55
gene-SAOUHSC_00838	CP000253.1	810575	811453	+	879	129	1296	1249	1711	1312	1777
gene-SAOUHSC_00839	CP000253.1	811872	811985	+	114	61	174	203	208	184	240
gene-SAOUHSC_00840	CP000253.1	812195	812581	+	387	228	833	1462	1122	1658	1155
gene-SAOUHSC_00841	CP000253.1	812574	812870	+	297	157	510	1214	615	1075	564
gene-SAOUHSC_00842	CP000253.1	813120	814145	+	1026	11158	13206	54293	10614	30854	13683
gene-SAOUHSC_00843	CP000253.1	814138	814833	+	696	3897	6695	20506	5739	10934	7323
gene-SAOUHSC_00844	CP000253.1	814851	815672	+	822	3099	15853	37196	11173	16715	15595
gene-SAOUHSC_00845	CP000253.1	816026	816220	+	195	5858	36983	130021	54971	122873	69354
gene-SAOUHSC_00846	CP000253.1	816453	817304	-	852	5028	22122	17750	30693	15655	28400
gene-SAOUHSC_00847	CP000253.1	817632	818393	+	762	6108	42768	26421	57156	26798	55197
gene-SAOUHSC_00848	CP000253.1	818491	819798	+	1308	8516	79697	37153	98967	44233	105951
gene-SAOUHSC_00849	CP000253.1	819904	821154	+	1251	19335	89983	47230	109869	45495	117569
gene-SAOUHSC_00850	CP000253.1	821144	821608	+	465	7115	41121	21091	50034	18455	51937
gene-SAOUHSC_00851	CP000253.1	821759	823156	+	1398	9548	97916	61920	113163	49946	129714
gene-SAOUHSC_00852	CP000253.1	823343	823480	+	138	16	129	340	81	221	118
gene-SAOUHSC_00853	CP000253.1	823486	823800	-	315	18	139	202	110	305	148
gene-SAOUHSC_00854	CP000253.1	824165	825205	+	1041	1408	1343	7007	1794	6133	2135
gene-SAOUHSC_00855	CP000253.1	825219	826286	+	1068	2372	860	4149	1182	3180	1388
gene-SAOUHSC_00857	CP000253.1	826353	826451	+	99	47	57	87	68	50	88
gene-SAOUHSC_00858	CP000253.1	826499	827347	+	849	131	625	1754	895	1502	1162
gene-SAOUHSC_00859	CP000253.1	827360	828187	+	828	237	464	1121	517	995	747
gene-SAOUHSC_00860	CP000253.1	828214	829533	+	1320	378	1180	3298	1613	2694	2064
gene-SAOUHSC_00861	CP000253.1	829617	830534	+	918	4089	7164	19017	9756	17635	10382
gene-SAOUHSC_00862	CP000253.1	830664	831047	+	384	144	494	1393	666	1373	745
gene-SAOUHSC_00863	CP000253.1	831126	831392	-	267	49	611	1035	724	897	940
gene-SAOUHSC_00864	CP000253.1	831490	831924	+	435	50	306	1100	373	944	430
gene-SAOUHSC_00865	CP000253.1	831924	832703	+	780	340	752	2049	814	2007	1094
gene-SAOUHSC_00866	CP000253.1	832811	833695	+	885	646	1444	3510	1750	2941	2195
gene-SAOUHSC_00867	CP000253.1	833949	834059	+	111	1	2	4	1	1	1
gene-SAOUHSC_00868	CP000253.1	834056	834259	+	204	189	435	8209	351	2263	358
gene-SAOUHSC_00869	CP000253.1	834275	835732	+	1458	3372	8993	53975	11238	35705	12736
gene-SAOUHSC_00870	CP000253.1	835729	836943	+	1215	651	5800	14813	5857	14820	7314
gene-SAOUHSC_00871	CP000253.1	836961	837197	+	237	179	1672	5523	1323	3091	1698
gene-SAOUHSC_00872	CP000253.1	837194	838369	+	1176	1039	9125	19902	9655	18417	12484
gene-SAOUHSC_00873	CP000253.1	838632	838874	-	243	989	4507	5424	4439	6275	7074
gene-SAOUHSC_00874	CP000253.1	838975	839298	+	324	56	902	498	614	472	1167
gene-SAOUHSC_00875	CP000253.1	839357	840421	-	1065	3375	7354	8588	8841	9108	11302
gene-SAOUHSC_00876	CP000253.1	840738	840974	+	237	465	628	3016	918	1948	1286
gene-SAOUHSC_00877	CP000253.1	840987	841346	+	360	806	918	3129	1453	2981	1849
gene-SAOUHSC_00878	CP000253.1	841800	843008	+	1209	6334	10760	27203	13461	25361	17531
gene-SAOUHSC_00879	CP000253.1	843139	844614	+	1476	486	1151	3687	1648	2665	2241
gene-SAOUHSC_00880	CP000253.1	845025	846341	+	1317	1070	5331	6424	6867	9955	7956
gene-SAOUHSC_00881	CP000253.1	846360	846734	+	375	767	3194	4755	4099	4569	4855
gene-SAOUHSC_00882	CP000253.1	846790	847944	-	1155	67	3584	474	4418	341	8364
gene-SAOUHSC_00883	CP000253.1	848193	848549	-	357	457	1705	4517	1634	3710	2495
gene-SAOUHSC_00884	CP000253.1	848527	848820	-	294	743	541	1444	693	1433	831
gene-SAOUHSC_00885	CP000253.1	848820	849299	-	480	811	2422	9280	2533	5471	3023
gene-SAOUHSC_00886	CP000253.1	849301	850797	-	1497	2412	5281	16283	6567	13756	7681
gene-SAOUHSC_00887	CP000253.1	850790	851119	-	330	507	1209	5223	1557	3448	1814
gene-SAOUHSC_00888	CP000253.1	851131	851559	-	429	501	1240	4481	1473	3767	1797
gene-SAOUHSC_00889	CP000253.1	851552	853957	-	2406	4098	5902	28530	7998	21966	9420
gene-SAOUHSC_00890	CP000253.1	854088	854471	-	384	52	239	590	227	502	392
gene-SAOUHSC_00891	CP000253.1	854535	855128	+	594	2591	2619	5278	3301	5100	4565
gene-SAOUHSC_00892	CP000253.1	855577	855921	+	345	2171	3668	8769	5366	6989	5854
gene-SAOUHSC_00893	CP000253.1	856283	857410	+	1128	1770	800	5626	1253	3290	1663
gene-SAOUHSC_00894	CP000253.1	857718	858908	+	1191	2739	2936	19479	5790	15212	5378
gene-SAOUHSC_00895	CP000253.1	859017	860261	+	1245	7505	10864	31573	17173	24337	17472
gene-SAOUHSC_00896	CP000253.1	860487	860678	+	192	919	1065	868	1807	858	2004
gene-SAOUHSC_00897	CP000253.1	860764	861693	-	930	187	1080	1529	986	1188	1287
gene-SAOUHSC_00898	CP000253.1	861935	863314	-	1380	631	43941	8013	30242	1904	33519
gene-SAOUHSC_00899	CP000253.1	863304	864509	-	1206	1333	21890	7235	15221	1254	17020
gene-SAOUHSC_00900	CP000253.1	864860	866191	+	1332	3188	5537	21581	7080	21618	9900
gene-SAOUHSC_00901	CP000253.1	866516	867091	+	576	401	2103	7130	1977	4208	2664
gene-SAOUHSC_00902	CP000253.1	867096	867620	+	525	1136	2046	5752	2271	3798	2624
gene-SAOUHSC_00903	CP000253.1	867744	868211	+	468	273	1836	3677	2530	2828	2938
gene-SAOUHSC_00904	CP000253.1	868371	871847	+	3477	905	4791	7723	5673	6367	6828
gene-SAOUHSC_00905	CP000253.1	871848	875501	+	3654	2385	9850	13008	10662	10920	13186
gene-SAOUHSC_00906	CP000253.1	875667	876569	+	903	7521	5766	25582	7646	20087	9450
gene-SAOUHSC_00907	CP000253.1	876898	877287	+	390	503	1012	1656	1079	1554	1541
gene-SAOUHSC_00908	CP000253.1	877458	878774	-	1317	4822	3841	13402	5856	11909	6576
gene-SAOUHSC_00909	CP000253.1	878826	879650	-	825	778	2074	4548	2643	4124	3239
gene-SAOUHSC_00910	CP000253.1	879806	880072	+	267	915	1926	7456	3098	5827	2923
gene-SAOUHSC_00911	CP000253.1	880619	882433	+	1815	38	1907	550	1709	580	2957
gene-SAOUHSC_00912	CP000253.1	882636	885245	+	2610	1754	242779	19004	361532	59158	370983
gene-SAOUHSC_00913	CP000253.1	885304	886173	-	870	2	498	65	589	92	478
gene-SAOUHSC_00914	CP000253.1	886283	887428	+	1146	4	629	47	896	63	639
gene-SAOUHSC_00915	CP000253.1	887412	888053	+	642	10	388	84	448	75	312
gene-SAOUHSC_00916	CP000253.1	888046	889164	+	1119	14	229	130	225	145	231
gene-SAOUHSC_00917	CP000253.1	889148	889663	+	516	25	199	216	316	187	259
gene-SAOUHSC_00918	CP000253.1	889974	890408	+	435	474	1760	676	1662	735	2082
gene-SAOUHSC_00919	CP000253.1	890665	890850	-	186	123	1033	2771	1348	3829	1677
gene-SAOUHSC_00920	CP000253.1	891145	892086	+	942	3228	1596	7695	1641	4096	2069
gene-SAOUHSC_00921	CP000253.1	892098	893342	+	1245	16679	6039	27812	6824	17900	8508
gene-SAOUHSC_00922	CP000253.1	893397	893768	-	372	14	48	262	51	302	91
gene-SAOUHSC_00923	CP000253.1	894011	894937	+	927	470	416	4855	439	5235	564
gene-SAOUHSC_00924	CP000253.1	894937	896007	+	1071	1100	609	5576	641	4839	774
gene-SAOUHSC_00925	CP000253.1	896024	897106	+	1083	3099	1434	11653	1392	7963	1567
gene-SAOUHSC_00926	CP000253.1	897096	898037	+	942	3042	1744	12497	1322	8333	1781
gene-SAOUHSC_00927	CP000253.1	898056	899711	+	1656	6603	6443	30765	4956	22710	7290
gene-SAOUHSC_00928	CP000253.1	899923	901638	+	1716	108	348	718	337	461	607
gene-SAOUHSC_00929	CP000253.1	901689	902675	+	987	20	174	271	165	194	290
gene-SAOUHSC_00930	CP000253.1	902678	903658	+	981	75	238	445	216	310	395
gene-SAOUHSC_00931	CP000253.1	903651	904613	+	963	52	265	963	201	773	396
gene-SAOUHSC_00932	CP000253.1	904625	905506	+	882	136	430	561	388	441	641
gene-SAOUHSC_00933	CP000253.1	905548	906537	-	990	543	3347	6504	2803	5226	4150
gene-SAOUHSC_00934	CP000253.1	906832	907227	+	396	36562	283089	252830	306689	203599	377314
gene-SAOUHSC_00935	CP000253.1	907598	908317	+	720	3339	19274	39610	29854	31544	34313
gene-SAOUHSC_00936	CP000253.1	908438	909424	+	987	12	255	149	248	90	307
gene-SAOUHSC_00937	CP000253.1	909472	911280	+	1809	829	795	8278	910	5947	1374
gene-SAOUHSC_00938	CP000253.1	911740	912546	-	807	467	2193	4270	2576	3554	3428
gene-SAOUHSC_00939	CP000253.1	912569	912886	-	318	196	813	2638	999	2215	1395
gene-SAOUHSC_00940	CP000253.1	913038	913631	-	594	74	341	1010	437	1342	624
gene-SAOUHSC_00941	CP000253.1	913817	914164	+	348	123	1033	2998	1216	2084	1503
gene-SAOUHSC_00942	CP000253.1	914181	914816	+	636	965	2633	6845	3414	4850	4080
gene-SAOUHSC_00943	CP000253.1	914833	915642	+	810	1558	4552	8067	5785	7203	7014
gene-SAOUHSC_00944	CP000253.1	915639	916493	+	855	471	1651	3416	1714	2455	2336
gene-SAOUHSC_00945	CP000253.1	916514	917899	+	1386	1154	2790	6290	3198	3903	3636
gene-SAOUHSC_00946	CP000253.1	917909	919753	+	1845	1212	4742	8817	5052	7491	6153
gene-SAOUHSC_00947	CP000253.1	920031	920801	+	771	1617	7362	13800	8697	13964	11155
gene-SAOUHSC_00948	CP000253.1	920996	922081	-	1086	681	2962	12179	3313	12196	4052
gene-SAOUHSC_00949	CP000253.1	922423	923991	+	1569	2329	726	19955	1148	17341	1119
gene-SAOUHSC_00950	CP000253.1	924133	924891	+	759	257	626	2413	729	2369	846
gene-SAOUHSC_00951	CP000253.1	925085	925594	+	510	1083	6452	15292	7090	13990	9987
gene-SAOUHSC_00952	CP000253.1	925707	926915	-	1209	278	4537	3109	4457	3499	6782
gene-SAOUHSC_00953	CP000253.1	926875	928050	-	1176	629	4960	6899	5459	5952	7415
gene-SAOUHSC_00954	CP000253.1	928483	929964	+	1482	1668	3992	6208	4137	4832	5007
gene-SAOUHSC_00955	CP000253.1	929948	930208	+	261	199	928	1432	635	753	920
gene-SAOUHSC_00956	CP000253.1	930208	931770	+	1563	2202	9584	9902	8140	7731	11046
gene-SAOUHSC_00957	CP000253.1	932072	932875	+	804	4118	2436	6987	3419	8413	3831
gene-SAOUHSC_00958	CP000253.1	933094	935418	+	2325	262	2046	3043	2000	2191	2680
gene-SAOUHSC_00959	CP000253.1	935435	936793	+	1359	545	6069	5718	5489	4632	7426
gene-SAOUHSC_00960	CP000253.1	936932	938443	+	1512	726	2077	4807	1987	4383	3012
gene-SAOUHSC_T00049	CP000253.1	938623	938711	-	89	304	108	11	213	163	275
gene-SAOUHSC_T0008	CP000253.1	938714	938788	-	75	74	283	46	237	111	298
gene-SAOUHSC_00961	CP000253.1	938930	939460	-	531	54	17190	557	9755	538	15738
gene-SAOUHSC_00962	CP000253.1	939709	939927	+	219	13465	1636	64057	3017	40355	2844
gene-SAOUHSC_00963	CP000253.1	940008	940994	-	987	268	1007	3614	1314	2441	1598
gene-SAOUHSC_00964	CP000253.1	941193	941369	+	177	81	1295	2364	1604	2169	1832
gene-SAOUHSC_00965	CP000253.1	941384	941986	+	603	685	5094	6150	4493	7908	6259
gene-SAOUHSC_00966	CP000253.1	942257	942364	+	108	1533	1168	806	2125	2260	2447
gene-SAOUHSC_00967	CP000253.1	942903	943004	+	102	1	16	15	20	7	12
gene-SAOUHSC_00968	CP000253.1	943330	945294	+	1965	121	309	958	260	937	413
gene-SAOUHSC_00969	CP000253.1	945297	945617	+	321	26	203	288	131	222	223
gene-SAOUHSC_00970	CP000253.1	945614	946255	+	642	49	432	303	395	406	592
gene-SAOUHSC_00971	CP000253.1	946343	946633	-	291	43	1011	288	532	1022	1001
gene-SAOUHSC_00972	CP000253.1	946912	947199	+	288	21	83	365	77	382	114
gene-SAOUHSC_00973	CP000253.1	947205	947912	+	708	76	337	811	250	980	364
gene-SAOUHSC_00974	CP000253.1	947905	948687	+	783	90	1499	1755	1412	1622	2205
gene-SAOUHSC_00975	CP000253.1	948776	949132	-	357	105	568	3576	578	4140	855
gene-SAOUHSC_00976	CP000253.1	949716	950579	+	864	59	1062	292	1013	321	1228
gene-SAOUHSC_00977	CP000253.1	950625	950756	-	132	210	277	2826	489	2330	499
gene-SAOUHSC_00978	CP000253.1	950820	951110	-	291	8	73	127	77	160	87
gene-SAOUHSC_00979	CP000253.1	951200	951751	+	552	66	296	710	302	653	438
gene-SAOUHSC_00980	CP000253.1	951802	952740	-	939	526	6914	4702	5243	4299	8408
gene-SAOUHSC_00981	CP000253.1	952891	952995	+	105	20	186	112	250	153	337
gene-SAOUHSC_00982	CP000253.1	953072	954283	+	1212	128	1693	1529	1882	1394	2756
gene-SAOUHSC_00983	CP000253.1	954270	955943	+	1674	2107	4228	8677	5600	6797	7559
gene-SAOUHSC_00984	CP000253.1	955930	956733	+	804	658	3083	4221	3288	3680	4921
gene-SAOUHSC_00985	CP000253.1	956726	957547	+	822	3672	6950	11491	9486	11665	12085
gene-SAOUHSC_00986	CP000253.1	957786	958115	-	330	52	1808	444	1082	327	2089
gene-SAOUHSC_00987	CP000253.1	958153	959334	-	1182	130	5351	1097	3173	1007	5763
gene-SAOUHSC_00988	CP000253.1	959416	960426	-	1011	204	3978	683	2277	637	4210
gene-SAOUHSC_00989	CP000253.1	960954	962108	-	1155	1429	1789	13371	2356	8728	2667
gene-SAOUHSC_00991	CP000253.1	962304	963314	-	1011	81	774	1262	671	1454	930
gene-SAOUHSC_00992	CP000253.1	963467	963886	+	420	16	1449	260	1058	299	1640
